dataset,sample_id,clean_text,noisy_text,label,noise_type,severity,word_count,token_count,sigma_prime,alpha,oov_rate,clean_pred,noisy_pred,clean_score,noisy_score,delta_p,failure_label,clean_raw_output,noisy_raw_output
squad,2,What do ctenophores have that no other animals have?,Wyat do cyenophores have that no other animals hsve?,"[""colloblasts"", ""colloblasts"", ""colloblasts""]",keyboard_proximity,0.05,9,17,1.8888888888888888,0.1764705882352941,0.1764705882352941,Colloblasts,Colloblasts,1.0,1.0,0.0,0,"Colloblasts.

(Note: Colloblasts are specialized cells that produce sticky threads to capture prey in ctenophores.)","Colloblasts.

(Note: The spelling of the phylum name in the passage is incorrect. It should be ""Ctenophores"" not ""Cyenophores"".)"
squad,2,What do ctenophores have that no other animals have?,Wgat do xgrnophotws gave that no other animals hqve?,"[""colloblasts"", ""colloblasts"", ""colloblasts""]",keyboard_proximity,0.15,9,19,2.111111111111111,0.3684210526315789,0.1578947368421052,Colloblasts,"Colloblasts, which are sticky and adhere to prey",1.0,0.2222222222222222,0.7777777777777778,1,"Colloblasts.

(Note: Colloblasts are specialized cells that produce sticky threads to capture prey in ctenophores.)","Colloblasts, which are sticky and adhere to prey."
squad,2,What do ctenophores have that no other animals have?,Abst dp fydnophotds bave that no lthet anunals hqge?,"[""colloblasts"", ""colloblasts"", ""colloblasts""]",keyboard_proximity,0.3,9,23,2.555555555555556,0.3478260869565217,0.2608695652173913,Colloblasts,"Ctenophores have colloblasts, which are not found in all animals",1.0,0.1818181818181818,0.8181818181818181,1,"Colloblasts.

(Note: Colloblasts are specialized cells that produce sticky threads to capture prey in ctenophores.)","Ctenophores have colloblasts, which are not found in all animals."
squad,2,What do ctenophores have that no other animals have?,Wh@t do c7enophores have that no other anim@ls have?,"[""colloblasts"", ""colloblasts"", ""colloblasts""]",homoglyph,0.05,9,19,2.111111111111111,0.3157894736842105,0.2105263157894736,Colloblasts,Colloblasts,1.0,1.0,0.0,0,"Colloblasts.

(Note: Colloblasts are specialized cells that produce sticky threads to capture prey in ctenophores.)","Colloblasts.

(Note: The ""@"" symbols in the question are not part of the question itself and have been included only to represent the positions of the missing letters in the question as it was presented to me. The actual question did not contain these symbols.)"
squad,2,What do ctenophores have that no other animals have?,Wh@t do c73nophor35 have that no other anim@ls h@v3?,"[""colloblasts"", ""colloblasts"", ""colloblasts""]",homoglyph,0.15,9,24,2.6666666666666665,0.5833333333333334,0.3333333333333333,Colloblasts,Colloblasts,1.0,1.0,0.0,0,"Colloblasts.

(Note: Colloblasts are specialized cells that produce sticky threads to capture prey in ctenophores.)","Colloblasts.

(Note: The ""@"" symbols are used in the question to represent the ""@"" symbol in the original question, which was used to represent the ""C"" and ""h"" characters in the word ""Ctenophores"" and the ""n"" and ""h"" characters"
squad,2,What do ctenophores have that no other animals have?,Wh@7 d0 c73nophor35 have 7ha7 n0 oth3r anim@15 h@v3?,"[""colloblasts"", ""colloblasts"", ""colloblasts""]",homoglyph,0.3,9,33,3.6666666666666665,0.7575757575757576,0.303030303030303,Colloblasts,"Ctenophores have muscles, nervous systems, and some sensory organs, like cnidarians",1.0,0.0,1.0,1,"Colloblasts.

(Note: Colloblasts are specialized cells that produce sticky threads to capture prey in ctenophores.)","Ctenophores have muscles, nervous systems, and some sensory organs, like cnidarians."
squad,2,What do ctenophores have that no other animals have?,Whhat do cttenophores have that no other animals haave?,"[""colloblasts"", ""colloblasts"", ""colloblasts""]",char_repetition,0.05,9,17,1.8888888888888888,0.1176470588235294,0.2352941176470588,Colloblasts,Colloblasts,1.0,1.0,0.0,0,"Colloblasts.

(Note: Colloblasts are specialized cells that produce sticky threads to capture prey in ctenophores.)","Colloblasts.

(Note: The spelling of ""cttenophores"" in the question is incorrect, and the correct spelling is ""ctenophores"" as used in the passage. However, I will answer based on the question as given.)"
squad,2,What do ctenophores have that no other animals have?,Whhat do cctteenophorrees hhave that no other animals haave?,"[""colloblasts"", ""colloblasts"", ""colloblasts""]",char_repetition,0.15,9,18,2.0,0.1666666666666666,0.5,Colloblasts,Colloblasts,1.0,1.0,0.0,0,"Colloblasts.

(Note: Colloblasts are specialized cells that produce sticky threads to capture prey in ctenophores.)","Colloblasts.

(Note: In the passage, ""ctenophores"" is misspelled as ""cctteenophorrees"" in the question. I assumed this was a typo and corrected it in the answer.)"
squad,2,What do ctenophores have that no other animals have?,WWhhaat doo cctteenophorrees hhave that no ootherr aniimmals haavve?,"[""colloblasts"", ""colloblasts"", ""colloblasts""]",char_repetition,0.3,9,27,3.0,0.2962962962962963,0.4814814814814814,Colloblasts,Colloblasts,1.0,1.0,0.0,0,"Colloblasts.

(Note: Colloblasts are specialized cells that produce sticky threads to capture prey in ctenophores.)","Colloblasts.

(Note: The unconventional spelling in the question is intentional to reflect the way it might be spoken aloud.)"
squad,2,What do ctenophores have that no other animals have?,Wat do cenophores have that no other animals hve?,"[""colloblasts"", ""colloblasts"", ""colloblasts""]",char_deletion,0.05,9,15,1.6666666666666667,0.2,0.1333333333333333,Colloblasts,Colloblasts,1.0,1.0,0.0,0,"Colloblasts.

(Note: Colloblasts are specialized cells that produce sticky threads to capture prey in ctenophores.)","Colloblasts.

(Note: In the passage, ""cenophores"" is misspelled as ""ctenophores."")"
