model,fold,n_train,n_val,accuracy,precision_macro,recall_macro,f1_macro,f1_failure,roc_auc,pr_auc
LR,1,17982,4482,0.6357,0.6201,0.6308,0.6192,0.5399,0.6857,0.5385
LR,2,17964,4500,0.6424,0.6184,0.6332,0.6178,0.5207,0.6819,0.4975
LR,3,17982,4482,0.6381,0.617,0.6249,0.6179,0.5301,0.6692,0.5274
LR,4,17964,4500,0.6453,0.6265,0.6489,0.6217,0.5273,0.6944,0.4866
LR,5,17964,4500,0.6418,0.6182,0.6355,0.6163,0.5174,0.6772,0.4892
RF,1,17982,4482,0.6794,0.6577,0.6687,0.66,0.5787,0.7323,0.619
RF,2,17964,4500,0.6607,0.6315,0.6458,0.6331,0.5326,0.7062,0.5516
RF,3,17982,4482,0.6644,0.6405,0.648,0.6425,0.554,0.7154,0.5956
RF,4,17964,4500,0.6844,0.6499,0.6707,0.6528,0.5481,0.7337,0.5642
RF,5,17964,4500,0.6771,0.6433,0.6599,0.6462,0.5415,0.7292,0.5769
XGB,1,17982,4482,0.6749,0.6563,0.6687,0.6577,0.581,0.7335,0.6186
XGB,2,17964,4500,0.6549,0.6327,0.6497,0.6321,0.5407,0.7086,0.5594
XGB,3,17982,4482,0.6649,0.6434,0.6524,0.6452,0.5616,0.7175,0.598
XGB,4,17964,4500,0.6767,0.6512,0.6761,0.6511,0.5565,0.7365,0.5646
XGB,5,17964,4500,0.6702,0.645,0.6656,0.6453,0.5514,0.7325,0.5783
