group,split
squad_101,train
squad_103,train
squad_104,train
squad_106,train
squad_108,train
squad_109,train
squad_111,train
squad_112,train
squad_113,train
squad_114,train
squad_117,train
squad_120,train
squad_121,train
squad_122,train
squad_124,train
squad_125,train
squad_126,train
squad_129,train
squad_131,train
squad_132,train
squad_133,train
squad_134,train
squad_137,train
squad_139,train
squad_141,train
squad_142,train
squad_143,train
squad_144,train
squad_145,train
squad_149,train
squad_154,train
squad_156,train
squad_158,train
squad_16,train
squad_161,train
squad_164,train
squad_166,train
squad_168,train
squad_17,train
squad_171,train
squad_176,train
squad_177,train
squad_178,train
squad_179,train
squad_181,train
squad_185,train
squad_188,train
squad_191,train
squad_193,train
squad_195,train
squad_196,train
squad_197,train
squad_199,train
squad_200,train
squad_202,train
squad_203,train
squad_204,train
squad_205,train
squad_21,train
squad_210,train
squad_211,train
squad_213,train
squad_214,train
squad_216,train
squad_218,train
squad_22,train
squad_222,train
squad_225,train
squad_227,train
squad_229,train
squad_230,train
squad_232,train
squad_235,train
squad_237,train
squad_238,train
squad_239,train
squad_24,train
squad_240,train
squad_241,train
squad_243,train
squad_244,train
squad_247,train
squad_248,train
squad_25,train
squad_250,train
squad_252,train
squad_253,train
squad_254,train
squad_257,train
squad_259,train
squad_260,train
squad_262,train
squad_264,train
squad_265,train
squad_266,train
squad_267,train
squad_270,train
squad_272,train
squad_276,train
squad_278,train
squad_279,train
squad_281,train
squad_282,train
squad_285,train
squad_286,train
squad_288,train
squad_289,train
squad_29,train
squad_290,train
squad_291,train
squad_292,train
squad_295,train
squad_298,train
squad_299,train
squad_3,train
squad_301,train
squad_302,train
squad_304,train
squad_306,train
squad_308,train
squad_309,train
squad_312,train
squad_314,train
squad_317,train
squad_318,train
squad_320,train
squad_321,train
squad_323,train
squad_326,train
squad_328,train
squad_330,train
squad_333,train
squad_335,train
squad_337,train
squad_338,train
squad_34,train
squad_340,train
squad_342,train
squad_346,train
squad_35,train
squad_350,train
squad_355,train
squad_356,train
squad_358,train
squad_36,train
squad_361,train
squad_362,train
squad_364,train
squad_365,train
squad_366,train
squad_373,train
squad_374,train
squad_376,train
squad_377,train
squad_378,train
squad_379,train
squad_38,train
squad_381,train
squad_382,train
squad_383,train
squad_387,train
squad_391,train
squad_392,train
squad_393,train
squad_396,train
