dataset,feature,target,pearson,spearman,abs_spearman
sst2,sigma_prime,failure_label,0.1654,0.1844,0.1844
sst2,sigma_prime,delta_p,0.1654,0.1844,0.1844
sst2,sigma_prime,noisy_score,-0.1654,-0.1844,0.1844
sst2,oov_rate,failure_label,0.057,0.0726,0.0726
sst2,oov_rate,delta_p,0.057,0.0726,0.0726
sst2,oov_rate,noisy_score,-0.057,-0.0726,0.0726
sst2,severity,failure_label,0.2127,0.2152,0.2152
sst2,severity,delta_p,0.2127,0.2152,0.2152
sst2,severity,noisy_score,-0.2127,-0.2152,0.2152
sst2,word_count,failure_label,-0.1265,-0.1743,0.1743
sst2,word_count,delta_p,-0.1265,-0.1743,0.1743
sst2,word_count,noisy_score,0.1265,0.1743,0.1743
sst2,alpha,failure_label,0.0895,0.0821,0.0821
sst2,alpha,delta_p,0.0895,0.0821,0.0821
sst2,alpha,noisy_score,-0.0895,-0.0821,0.0821
svamp,sigma_prime,failure_label,0.3178,0.2954,0.2954
svamp,sigma_prime,delta_p,0.3178,0.2954,0.2954
svamp,sigma_prime,noisy_score,-0.3178,-0.2954,0.2954
svamp,oov_rate,failure_label,0.1886,0.2072,0.2072
svamp,oov_rate,delta_p,0.1886,0.2072,0.2072
svamp,oov_rate,noisy_score,-0.1886,-0.2072,0.2072
svamp,severity,failure_label,0.3387,0.3448,0.3448
svamp,severity,delta_p,0.3387,0.3448,0.3448
svamp,severity,noisy_score,-0.3387,-0.3448,0.3448
svamp,word_count,failure_label,0.0864,0.0845,0.0845
svamp,word_count,delta_p,0.0864,0.0845,0.0845
svamp,word_count,noisy_score,-0.0864,-0.0845,0.0845
svamp,alpha,failure_label,0.3974,0.3791,0.3791
svamp,alpha,delta_p,0.3974,0.3791,0.3791
svamp,alpha,noisy_score,-0.3974,-0.3791,0.3791
squad,sigma_prime,failure_label,0.2475,0.2379,0.2379
squad,sigma_prime,delta_p,0.2362,0.2239,0.2239
squad,sigma_prime,noisy_score,-0.2102,-0.1833,0.1833
squad,oov_rate,failure_label,0.2058,0.2202,0.2202
squad,oov_rate,delta_p,0.198,0.2097,0.2097
squad,oov_rate,noisy_score,-0.2026,-0.2044,0.2044
squad,severity,failure_label,0.3239,0.3231,0.3231
squad,severity,delta_p,0.3224,0.3125,0.3125
squad,severity,noisy_score,-0.3032,-0.2816,0.2816
squad,word_count,failure_label,0.0074,0.0274,0.0274
squad,word_count,delta_p,0.0057,0.0351,0.0351
squad,word_count,noisy_score,0.0111,-0.0187,0.0187
squad,alpha,failure_label,0.269,0.2523,0.2523
squad,alpha,delta_p,0.2601,0.232,0.232
squad,alpha,noisy_score,-0.2384,-0.2075,0.2075
