model,fold,n_train,n_val,accuracy,precision_macro,recall_macro,f1_macro,f1_failure,roc_auc,pr_auc
LR,1,4410,1116,0.6568,0.6328,0.6481,0.6332,0.5402,0.698,0.5128
LR,2,4428,1098,0.6685,0.641,0.6624,0.6414,0.5427,0.7268,0.5136
LR,3,4428,1098,0.6566,0.6331,0.6581,0.6299,0.5305,0.7279,0.5216
LR,4,4428,1098,0.6749,0.6458,0.6707,0.6461,0.5452,0.7193,0.5229
LR,5,4410,1116,0.6452,0.621,0.6466,0.6159,0.5099,0.7105,0.4897
RF,1,4410,1116,0.6828,0.6484,0.6593,0.6516,0.5473,0.7205,0.5441
RF,2,4428,1098,0.7077,0.665,0.6787,0.6695,0.5572,0.7469,0.5574
RF,3,4428,1098,0.6876,0.6485,0.67,0.6521,0.5408,0.7423,0.5541
RF,4,4428,1098,0.7095,0.67,0.6925,0.6751,0.5695,0.7422,0.5636
RF,5,4410,1116,0.7177,0.6689,0.6896,0.6749,0.557,0.7488,0.5526
XGB,1,4410,1116,0.6577,0.6444,0.6639,0.6408,0.5629,0.7275,0.5482
XGB,2,4428,1098,0.684,0.655,0.6777,0.6568,0.5602,0.734,0.5412
XGB,3,4428,1098,0.6712,0.6498,0.6784,0.6467,0.5538,0.7458,0.535
XGB,4,4428,1098,0.6667,0.657,0.6882,0.6481,0.5674,0.7471,0.5564
XGB,5,4410,1116,0.6819,0.6535,0.6846,0.6528,0.5523,0.7439,0.5257
