group,split
2,train
3,train
4,train
6,train
9,train
17,train
21,train
22,train
23,train
24,train
25,train
28,train
29,train
34,train
35,train
36,train
38,train
41,train
44,train
53,train
54,train
56,train
57,train
58,train
60,train
62,train
66,train
67,train
68,train
69,train
70,train
73,train
74,train
75,train
79,train
80,train
84,train
86,train
87,train
92,train
93,train
98,train
99,train
101,train
103,train
104,train
108,train
109,train
112,train
113,train
115,train
117,train
120,train
121,train
122,train
124,train
125,train
126,train
129,train
132,train
134,train
139,train
141,train
142,train
144,train
147,train
149,train
154,train
156,train
158,train
164,train
166,train
171,train
173,train
174,train
176,train
177,train
178,train
179,train
182,train
185,train
189,train
191,train
192,train
193,train
194,train
195,train
197,train
199,train
200,train
201,train
202,train
203,train
208,train
210,train
211,train
213,train
215,train
217,train
218,train
220,train
222,train
225,train
227,train
229,train
230,train
232,train
235,train
237,train
238,train
239,train
240,train
241,train
242,train
243,train
247,train
248,train
252,train
253,train
254,train
256,train
257,train
260,train
264,train
265,train
266,train
267,train
272,train
276,train
278,train
279,train
282,train
285,train
286,train
287,train
288,train
289,train
290,train
291,train
292,train
294,train
298,train
299,train
300,train
302,train
304,train
306,train
308,train
309,train
312,train
314,train
317,train
318,train
320,train
325,train
327,train
328,train
330,train
333,train
335,train
336,train
337,train
338,train
340,train
341,train
345,train
346,train
350,train
355,train
356,train
358,train
361,train
362,train
364,train
365,train
366,train
374,train
376,train
378,train
379,train
380,train
381,train
382,train
384,train
387,train
388,train
390,train
393,train
396,train
397,train
398,train
401,train
402,train
404,train
405,train
406,train
407,train
410,train
413,train
415,train
417,train
418,train
420,train
421,train
424,train
426,train
428,train
429,train
430,train
433,train
434,train
435,train
437,train
438,train
439,train
440,train
441,train
442,train
447,train
448,train
451,train
452,train
453,train
454,train
455,train
456,train
460,train
463,train
464,train
466,train
467,train
471,train
473,train
474,train
475,train
478,train
479,train
480,train
483,train
485,train
487,train
492,train
496,train
498,train
499,train
5,test
7,test
16,test
18,test
31,test
47,test
51,test
65,test
77,test
81,test
83,test
106,test
111,test
114,test
131,test
133,test
135,test
137,test
143,test
145,test
161,test
168,test
181,test
188,test
196,test
204,test
205,test
214,test
216,test
244,test
249,test
250,test
258,test
259,test
262,test
263,test
270,test
281,test
295,test
301,test
321,test
323,test
324,test
326,test
342,test
352,test
367,test
373,test
377,test
383,test
391,test
392,test
403,test
408,test
423,test
446,test
465,test
469,test
482,test
486,test
495,test
497,test
