model,fold,n_train,n_val,accuracy,precision_macro,recall_macro,f1_macro,f1_failure,roc_auc,pr_auc
LR,1,10170,2538,0.6359,0.6058,0.6269,0.6023,0.4867,0.6818,0.4431
LR,2,10170,2538,0.6328,0.6052,0.6337,0.5968,0.4764,0.6612,0.4003
LR,3,10152,2556,0.633,0.6001,0.6178,0.598,0.4795,0.6554,0.4356
LR,4,10170,2538,0.6355,0.6071,0.6242,0.6053,0.4959,0.6728,0.4518
LR,5,10170,2538,0.6217,0.5983,0.6177,0.5921,0.4822,0.6539,0.4119
RF,1,10170,2538,0.6533,0.6109,0.6294,0.612,0.4854,0.6934,0.468
RF,2,10170,2538,0.6635,0.6163,0.6425,0.6168,0.4831,0.6971,0.4687
RF,3,10152,2556,0.6628,0.6247,0.6447,0.6261,0.5091,0.6946,0.4825
RF,4,10170,2538,0.6651,0.6259,0.6416,0.6283,0.5115,0.7037,0.4893
RF,5,10170,2538,0.6407,0.5993,0.6149,0.5997,0.4716,0.6727,0.4315
XGB,1,10170,2538,0.6422,0.6134,0.6363,0.61,0.4978,0.6967,0.4724
XGB,2,10170,2538,0.645,0.6135,0.6434,0.6077,0.4866,0.7001,0.4656
XGB,3,10152,2556,0.6538,0.6257,0.6491,0.6236,0.5172,0.6988,0.4877
XGB,4,10170,2538,0.6537,0.6231,0.642,0.6231,0.5157,0.7052,0.4912
XGB,5,10170,2538,0.632,0.6016,0.6205,0.5986,0.4828,0.6761,0.4382
