group,split
0,train
1,train
3,train
5,train
6,train
8,train
9,train
10,train
12,train
15,train
18,train
19,train
20,train
24,train
25,train
27,train
28,train
29,train
30,train
31,train
33,train
38,train
39,train
40,train
41,train
43,train
46,train
47,train
50,train
51,train
52,train
53,train
56,train
59,train
65,train
66,train
69,train
70,train
72,train
73,train
75,train
79,train
80,train
81,train
85,train
88,train
89,train
94,train
95,train
99,train
102,train
103,train
104,train
107,train
109,train
110,train
112,train
119,train
121,train
125,train
126,train
128,train
131,train
132,train
133,train
135,train
136,train
137,train
138,train
139,train
140,train
142,train
143,train
144,train
147,train
148,train
149,train
151,train
153,train
155,train
158,train
159,train
162,train
165,train
167,train
169,train
170,train
171,train
175,train
177,train
178,train
179,train
180,train
181,train
182,train
183,train
184,train
186,train
187,train
192,train
199,train
200,train
202,train
206,train
207,train
208,train
210,train
211,train
215,train
216,train
219,train
220,train
221,train
222,train
223,train
224,train
225,train
227,train
230,train
233,train
234,train
235,train
236,train
237,train
241,train
247,train
248,train
250,train
251,train
252,train
256,train
258,train
260,train
263,train
266,train
267,train
269,train
270,train
274,train
275,train
276,train
278,train
279,train
280,train
283,train
284,train
285,train
287,train
289,train
290,train
292,train
293,train
295,train
296,train
297,train
298,train
299,train
300,train
301,train
302,train
306,train
310,train
312,train
315,train
316,train
317,train
319,train
321,train
322,train
326,train
328,train
329,train
333,train
336,train
338,train
339,train
343,train
345,train
349,train
350,train
351,train
352,train
353,train
354,train
355,train
356,train
357,train
359,train
360,train
361,train
364,train
367,train
369,train
370,train
372,train
373,train
377,train
380,train
381,train
382,train
386,train
387,train
388,train
389,train
396,train
397,train
398,train
399,train
403,train
404,train
405,train
406,train
407,train
408,train
410,train
411,train
412,train
414,train
416,train
417,train
419,train
421,train
422,train
425,train
428,train
430,train
433,train
435,train
438,train
440,train
442,train
443,train
445,train
446,train
447,train
449,train
450,train
451,train
453,train
458,train
460,train
461,train
463,train
464,train
466,train
470,train
471,train
473,train
478,train
482,train
484,train
485,train
494,train
495,train
496,train
497,train
498,train
501,train
502,train
504,train
507,train
508,train
509,train
510,train
512,train
513,train
514,train
515,train
516,train
519,train
520,train
522,train
