model,fold,n_train,n_val,accuracy,precision_macro,recall_macro,f1_macro,f1_failure,roc_auc,pr_auc
LR,1,3384,846,0.6832,0.6828,0.6802,0.6805,0.651,0.7425,0.7319
LR,2,3384,846,0.6619,0.6612,0.6599,0.6601,0.6352,0.723,0.7267
LR,3,3384,846,0.6986,0.6993,0.6991,0.6986,0.6961,0.7646,0.7801
LR,4,3384,846,0.6962,0.6942,0.6944,0.6943,0.6701,0.7669,0.7628
LR,5,3384,846,0.6809,0.6817,0.6789,0.6788,0.653,0.7519,0.76
RF,1,3384,846,0.6761,0.6762,0.6723,0.6724,0.6376,0.7453,0.7566
RF,2,3384,846,0.6738,0.6738,0.6709,0.671,0.6406,0.7404,0.7537
RF,3,3384,846,0.6962,0.6973,0.6969,0.6961,0.6915,0.7601,0.7873
RF,4,3384,846,0.708,0.706,0.7047,0.7052,0.6763,0.773,0.7729
RF,5,3384,846,0.6998,0.7019,0.6975,0.6972,0.6693,0.7614,0.7784
XGB,1,3384,846,0.6726,0.673,0.6684,0.6684,0.6312,0.7462,0.7491
XGB,2,3384,846,0.6608,0.6618,0.6568,0.6562,0.6168,0.7362,0.7488
XGB,3,3384,846,0.6974,0.6996,0.6984,0.6971,0.6878,0.7584,0.7856
XGB,4,3384,846,0.708,0.706,0.7045,0.7051,0.6754,0.7695,0.7708
XGB,5,3384,846,0.6915,0.6942,0.6889,0.6883,0.657,0.7581,0.7768
