group,split
1,train
3,train
5,train
6,train
8,train
9,train
13,train
14,train
15,train
22,train
25,train
28,train
29,train
38,train
42,train
51,train
55,train
57,train
61,train
64,train
66,train
67,train
70,train
72,train
78,train
81,train
87,train
89,train
90,train
94,train
95,train
102,train
104,train
105,train
109,train
111,train
115,train
117,train
119,train
124,train
126,train
127,train
128,train
129,train
130,train
133,train
134,train
139,train
146,train
149,train
151,train
158,train
159,train
160,train
164,train
165,train
168,train
171,train
173,train
174,train
178,train
180,train
181,train
184,train
185,train
188,train
190,train
191,train
194,train
198,train
205,train
206,train
207,train
208,train
212,train
213,train
215,train
221,train
223,train
224,train
226,train
227,train
228,train
231,train
232,train
233,train
234,train
235,train
238,train
243,train
247,train
248,train
252,train
254,train
255,train
256,train
260,train
261,train
263,train
265,train
266,train
269,train
271,train
275,train
277,train
278,train
280,train
281,train
285,train
287,train
289,train
290,train
293,train
299,train
301,train
303,train
305,train
307,train
315,train
322,train
329,train
330,train
338,train
339,train
341,train
342,train
344,train
346,train
348,train
350,train
351,train
356,train
365,train
368,train
370,train
371,train
372,train
373,train
376,train
378,train
379,train
380,train
382,train
383,train
384,train
387,train
388,train
390,train
394,train
396,train
397,train
398,train
399,train
401,train
404,train
405,train
408,train
411,train
413,train
414,train
415,train
419,train
421,train
426,train
430,train
432,train
435,train
440,train
445,train
451,train
452,train
453,train
455,train
460,train
465,train
466,train
469,train
473,train
474,train
476,train
480,train
482,train
487,train
492,train
494,train
496,train
497,train
499,train
18,test
21,test
31,test
34,test
39,test
41,test
58,test
60,test
68,test
113,test
132,test
147,test
162,test
166,test
193,test
196,test
202,test
214,test
219,test
245,test
251,test
273,test
274,test
276,test
302,test
319,test
323,test
327,test
347,test
363,test
369,test
377,test
386,test
389,test
395,test
416,test
424,test
429,test
434,test
443,test
449,test
477,test
481,test
483,test
484,test
489,test
493,test
